,Unnamed: 0,playerID,nameFirst,nameLast,bats,throws,debut,finalGame,G,AB,R,H,2B,3B,HR,RBI,SB,BB,SO,IBB,HBP,SH,SF,Years_Played,HoF,votedBy,Most Valuable Player,AS_games,Gold Glove,Rookie of the Year,World Series MVP,Silver Slugger,playerIDmstr,G_all,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,pre1920,1920-41,1942-45,1946-62,1963-76,1977-92,1993-2009,post2009,1B,SLG,OBS,OPS
10221,9692.0,kubiate01,Ted,Kubiak,B,R,1967-04-14,1976.0,977.0,2447.0,238.0,565.0,61.0,21.0,13.0,202.0,13.0,271.0,272.0,36.0,4.0,45.0,16.0,10.0,,,,,,,,,kubiate01,977,0,0,2,488,122,277,0,0,0,0,2.0,0,0,0,0,977,0,0,0,470.0,0.2889252145484266,0.30679327976625276,0.5957184943146794
10226,10559.0,lummi01,Mike,Lum,L,L,1967-09-12,1981.0,1517.0,3554.0,404.0,877.0,128.0,20.0,90.0,431.0,13.0,366.0,506.0,54.0,28.0,18.0,33.0,15.0,,,,,,,,,lummi01,1517,0,0,283,0,0,0,371,175,315,820,0.0,0,0,0,0,1095,422,0,0,639.0,0.37000562746201465,0.31926651595076616,0.6892721434127809
10228,10595.0,lylesp01,Sparky,Lyle,L,L,1967-07-04,1982.0,899.0,78.0,8.0,15.0,2.0,0.0,0.0,4.0,1.0,5.0,26.0,0.0,0.0,5.0,0.0,16.0,,,,3.0,,,,,lylesp01,899,899,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,549,350,0,0,13.0,0.21794871794871795,0.24096385542168675,0.4589125733704047
10230,10977.0,marshmi01,Mike,Marshall,R,R,1967-05-31,1981.0,725.0,179.0,11.0,35.0,1.0,0.0,1.0,16.0,0.0,17.0,33.0,0.0,1.0,18.0,2.0,14.0,,,,2.0,,,,,marshmi01,725,724,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,527,198,0,0,33.0,0.21787709497206703,0.2663316582914573,0.4842087532635243
10232,11209.0,mayda01,Dave,May,L,R,1967-07-28,1978.0,1252.0,3670.0,462.0,920.0,130.0,20.0,96.0,422.0,60.0,344.0,501.0,41.0,28.0,25.0,18.0,12.0,,,,1.0,,,,,mayda01,1252,0,0,0,0,0,0,85,542,414,1019,23.0,0,0,0,0,1088,164,0,0,674.0,0.3754768392370572,0.31822660098522165,0.6937034402222788
10234,12277.0,moosebo01,Bob,Moose,R,R,1967-09-19,1976.0,295.0,397.0,31.0,56.0,3.0,4.0,1.0,14.0,2.0,31.0,133.0,0.0,1.0,27.0,1.0,10.0,,,,,,,,,moosebo01,295,289,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,295,0,0,0,48.0,0.17632241813602015,0.20465116279069767,0.38097358092671785
10239,12791.0,nettlgr01,Graig,Nettles,L,R,1967-09-06,1988.0,2700.0,8986.0,1193.0,2225.0,328.0,28.0,390.0,1314.0,32.0,1088.0,1209.0,94.0,50.0,12.0,90.0,22.0,,,,6.0,2.0,,,,nettlgr01,2700,0,0,14,0,2413,5,58,2,13,73,11.0,0,0,0,0,1216,1484,0,0,1479.0,0.4205430669931004,0.3292539651458782,0.7497970321389786
10240,12873.0,niekrjo01,Joe,Niekro,R,R,1967-04-16,1988.0,706.0,973.0,55.0,152.0,26.0,1.0,1.0,72.0,1.0,38.0,262.0,0.0,1.0,147.0,6.0,22.0,,,,1.0,,,,,niekrjo01,706,702,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,324,382,0,0,124.0,0.1880781089414183,0.18762278978389,0.3757008987253083
10241,12928.0,nolanga01,Gary,Nolan,R,R,1967-04-15,1977.0,252.0,529.0,36.0,73.0,9.0,4.0,1.0,32.0,0.0,38.0,211.0,0.0,0.0,56.0,1.0,10.0,,,,1.0,,,,,nolanga01,252,250,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,238,14,0,0,59.0,0.17580340264650285,0.1954225352112676,0.37122593785777047
10243,13315.0,otisam01,Amos,Otis,R,R,1967-09-06,1984.0,1998.0,7299.0,1092.0,2020.0,374.0,66.0,193.0,1007.0,341.0,757.0,1008.0,53.0,33.0,54.0,103.0,17.0,,,,5.0,3.0,,,,otisam01,1998,0,0,0,0,4,0,62,1825,45,1929,24.0,0,0,0,0,1095,903,0,0,1387.0,0.4254007398273736,0.343017578125,0.7684183179523736
10248,14372.0,raderdo02,Doug,Rader,R,R,1967-07-31,1977.0,1465.0,5186.0,631.0,1302.0,245.0,39.0,155.0,722.0,37.0,528.0,1055.0,51.0,40.0,27.0,51.0,11.0,,,,,5.0,,,,raderdo02,1465,0,0,53,0,1349,2,0,0,1,1,35.0,0,0,0,0,1317,148,0,0,863.0,0.40300809872734283,0.32213608957795004,0.7251441883052929
10249,14935.0,roberbo01,Bob,Robertson,R,R,1967-09-18,1979.0,829.0,2385.0,283.0,578.0,93.0,10.0,115.0,368.0,7.0,317.0,546.0,18.0,13.0,1.0,26.0,11.0,,,,,,,,,roberbo01,829,0,0,603,0,16,0,26,0,0,26,33.0,0,0,0,0,750,79,0,0,360.0,0.4343815513626834,0.33126596132798247,0.7656475126906659
10251,15043.0,rodriau01,Aurelio,Rodriguez,R,R,1967-09-01,1983.0,2017.0,6611.0,612.0,1570.0,287.0,46.0,124.0,648.0,35.0,324.0,943.0,37.0,27.0,82.0,34.0,17.0,,,,,1.0,,,,rodriau01,2017,0,0,2,11,1987,14,0,0,0,0,3.0,0,0,0,0,1328,689,0,0,1113.0,0.35108153078202997,0.2745854774156661,0.625667008197696
10255,15327.0,rudijo01,Joe,Rudi,R,R,1967-04-11,1982.0,1547.0,5556.0,684.0,1468.0,287.0,39.0,179.0,810.0,25.0,369.0,870.0,59.0,35.0,65.0,51.0,16.0,,,,3.0,3.0,,,,rudijo01,1547,0,0,249,0,1,0,1158,4,46,1194,51.0,0,0,0,0,1036,511,0,0,963.0,0.4265658747300216,0.31142904674762933,0.7379949214776509
10257,15570.0,sanguma01,Manny,Sanguillen,R,R,1967-07-23,1980.0,1448.0,5062.0,566.0,1500.0,205.0,57.0,65.0,585.0,35.0,223.0,331.0,96.0,23.0,28.0,44.0,13.0,,,,3.0,,,,,sanguma01,1448,0,1114,57,0,0,0,2,0,68,70,58.0,0,0,0,0,1108,340,0,0,1173.0,0.3978664559462663,0.32623318385650224,0.7240996398027686
10259,15928.0,seaveto01,Tom,Seaver,R,R,1967-04-13,1986.0,677.0,1315.0,99.0,202.0,28.0,5.0,12.0,86.0,4.0,108.0,485.0,0.0,4.0,121.0,4.0,20.0,1.0,BBWAA,,12.0,,1.0,,,seaveto01,677,656,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,373,304,0,0,157.0,0.20988593155893537,0.2194269741439553,0.42931290570289066
10268,17806.0,torremi01,Mike,Torrez,R,R,1967-09-10,1984.0,499.0,412.0,24.0,64.0,8.0,1.0,0.0,15.0,1.0,10.0,131.0,0.0,2.0,28.0,0.0,18.0,,,,,,,,,torremi01,499,494,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,253,246,0,0,55.0,0.1796116504854369,0.1792452830188679,0.3588569335043048
10278,668.0,bakerdu01,Dusty,Baker,R,R,1968-09-07,1986.0,2039.0,7117.0,964.0,1981.0,320.0,23.0,242.0,1013.0,137.0,762.0,926.0,52.0,30.0,27.0,85.0,19.0,,,,2.0,1.0,,,2.0,bakerdu01,2039,0,0,61,0,0,0,1091,487,349,1844,28.0,0,0,0,0,740,1299,0,0,1396.0,0.43178305465786143,0.3468851638729047,0.7786682185307661
10281,1373.0,billija01,Jack,Billingham,R,R,1968-04-11,1980.0,476.0,559.0,21.0,62.0,8.0,0.0,0.0,23.0,0.0,27.0,206.0,0.0,0.0,69.0,1.0,13.0,,,,1.0,,,,,billija01,476,476,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,360,116,0,0,54.0,0.1252236135957066,0.151618398637138,0.2768420122328446
10284,1604.0,bondsbo01,Bobby,Bonds,R,R,1968-06-25,1981.0,1849.0,7043.0,1258.0,1886.0,302.0,66.0,332.0,1024.0,461.0,914.0,1757.0,75.0,53.0,16.0,64.0,14.0,,,,3.0,3.0,,,,bondsbo01,1849,0,0,0,0,0,0,64,296,1474,1736,81.0,0,0,0,0,1258,591,0,0,1186.0,0.470822092858157,0.3533564528114937,0.8241785456696507
10286,2274.0,burgmto01,Tom,Burgmeier,L,L,1968-04-10,1984.0,782.0,66.0,20.0,14.0,2.0,0.0,0.0,0.0,1.0,3.0,20.0,0.0,0.0,1.0,0.0,17.0,,,,1.0,,,,,burgmto01,782,745,0,0,0,0,0,2,0,1,3,3.0,0,0,0,0,440,342,0,0,12.0,0.24242424242424243,0.2463768115942029,0.4888010540184453
10292,4915.0,dyerdu01,Duffy,Dyer,R,R,1968-09-21,1981.0,722.0,1993.0,151.0,441.0,74.0,11.0,30.0,173.0,10.0,228.0,415.0,49.0,19.0,16.0,10.0,14.0,,,,,,,,,dyerdu01,722,0,634,0,0,0,0,0,0,1,1,10.0,0,0,0,0,492,230,0,0,326.0,0.3146011038635223,0.30577777777777776,0.6203788816413001
10293,5081.0,ellisdo01,Dock,Ellis,B,R,1968-06-18,1979.0,388.0,489.0,42.0,65.0,4.0,0.0,0.0,23.0,4.0,27.0,201.0,0.0,0.0,44.0,0.0,12.0,,,,1.0,,,,,ellisdo01,388,345,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,303,85,0,0,61.0,0.1411042944785276,0.17829457364341086,0.31939886812193846
10298,5500.0,fingero01,Rollie,Fingers,R,R,1968-09-15,1985.0,945.0,180.0,10.0,31.0,3.0,0.0,2.0,9.0,0.0,3.0,45.0,0.0,0.0,18.0,0.0,17.0,1.0,BBWAA,1.0,7.0,,,1.0,,fingero01,945,944,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,503,442,0,0,26.0,0.2222222222222222,0.18579234972677597,0.40801457194899815
10301,6183.0,garrra01,Ralph,Garr,L,R,1968-09-03,1980.0,1317.0,5108.0,717.0,1562.0,212.0,64.0,75.0,408.0,172.0,246.0,445.0,46.0,19.0,62.0,21.0,13.0,,,,1.0,,,,,garrra01,1317,0,0,0,0,0,0,863,63,335,1174,48.0,0,0,0,0,936,381,0,0,1211.0,0.4164056382145654,0.3387096774193548,0.7551153156339202
10307,7162.0,hallto01,Tom,Hall,L,L,1968-06-09,1977.0,368.0,192.0,24.0,31.0,2.0,0.0,0.0,2.0,0.0,7.0,55.0,0.0,0.0,18.0,0.0,10.0,,,,,,,,,hallto01,368,358,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,362,6,0,0,29.0,0.171875,0.19095477386934673,0.36282977386934673
10311,7566.0,hebneri01,Richie,Hebner,L,R,1968-09-23,1985.0,1908.0,6144.0,865.0,1694.0,273.0,57.0,203.0,890.0,38.0,687.0,741.0,95.0,74.0,44.0,67.0,18.0,,,,,,,,,hebneri01,1908,0,0,415,2,1259,0,5,0,27,32,36.0,0,0,0,0,1037,871,0,0,1161.0,0.4378255208333333,0.352122776821572,0.7899482976549053
10312,7656.0,hendrel01,Elrod,Hendricks,L,R,1968-04-13,1979.0,711.0,1888.0,205.0,415.0,66.0,7.0,62.0,230.0,1.0,229.0,319.0,40.0,12.0,8.0,18.0,12.0,,,,,,,,,hendrel01,711,1,600,9,0,0,0,0,0,0,0,3.0,0,0,0,0,687,24,0,0,280.0,0.3606991525423729,0.3055426176059618,0.6662417701483347
10313,7966.0,hislela01,Larry,Hisle,R,R,1968-04-10,1982.0,1197.0,4205.0,652.0,1146.0,193.0,32.0,166.0,674.0,128.0,462.0,941.0,37.0,39.0,32.0,42.0,14.0,,,,2.0,,,,,hislela01,1197,0,0,0,0,0,0,470,500,101,1018,136.0,0,0,0,0,835,362,0,0,755.0,0.45208085612366233,0.346882898062342,0.7989637541860044
10320,8769.0,johnsje01,Jerry,Johnson,R,R,1968-07-17,1977.0,365.0,122.0,4.0,15.0,4.0,0.0,0.0,4.0,0.0,5.0,42.0,0.0,0.0,6.0,1.0,10.0,,,,,,,,,johnsje01,365,365,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,322,43,0,0,11.0,0.1557377049180328,0.15625,0.3119877049180328
10321,8969.0,jorgemi01,Mike,Jorgensen,L,L,1968-09-10,1985.0,1633.0,3421.0,429.0,833.0,132.0,13.0,95.0,426.0,58.0,532.0,589.0,51.0,25.0,31.0,25.0,17.0,,,,,1.0,,,,jorgemi01,1633,0,0,1052,0,0,0,111,80,104,285,5.0,0,0,0,0,780,853,0,0,593.0,0.3729903536977492,0.34723957032225833,0.7202299240200075
10326,9775.0,lahoujo01,Joe,Lahoud,L,L,1968-04-10,1978.0,791.0,1925.0,239.0,429.0,68.0,12.0,65.0,218.0,20.0,309.0,339.0,21.0,16.0,6.0,5.0,11.0,,,,,,,,,lahoujo01,791,0,0,1,0,0,0,202,13,299,494,116.0,0,0,0,0,744,47,0,0,284.0,0.37194805194805197,0.3343680709534368,0.7063161229014887
10333,11204.0,maybejo01,John,Mayberry,L,L,1968-09-10,1982.0,1620.0,5447.0,733.0,1379.0,211.0,19.0,255.0,879.0,20.0,881.0,810.0,106.0,55.0,10.0,53.0,15.0,,,,2.0,,,,,maybejo01,1620,0,0,1478,0,0,0,0,0,0,0,96.0,0,0,0,0,849,771,0,0,894.0,0.4393243987516064,0.35969546302050964,0.799019861772116
10334,11208.0,mayca01,Carlos,May,L,R,1968-09-06,1977.0,1165.0,4120.0,545.0,1127.0,172.0,23.0,90.0,536.0,85.0,512.0,565.0,63.0,45.0,7.0,39.0,10.0,,,,2.0,,,,,mayca01,1165,0,0,211,0,0,0,653,0,26,677,242.0,0,0,0,0,1089,76,0,0,842.0,0.3919902912621359,0.3570822731128075,0.7490725643749434
10339,11688.0,mcraeha01,Hal,McRae,R,R,1968-07-11,1987.0,2084.0,7218.0,940.0,2091.0,484.0,66.0,191.0,1097.0,109.0,648.0,779.0,69.0,79.0,28.0,85.0,19.0,,,,3.0,,,,1.0,mcraeha01,2084,0,0,0,17,23,0,361,32,96,479,1427.0,0,0,0,0,776,1308,0,0,1350.0,0.4544195067885841,0.35093399750933996,0.8053535042979241
10340,11776.0,meltobi01,Bill,Melton,R,R,1968-05-04,1977.0,1144.0,3971.0,496.0,1004.0,162.0,9.0,160.0,591.0,23.0,479.0,669.0,29.0,44.0,20.0,43.0,10.0,,,,1.0,,,,,meltobi01,1144,0,0,45,0,903,0,3,0,78,81,88.0,0,0,0,0,1094,50,0,0,673.0,0.4190380256862251,0.33656601278377785,0.7556040384700029
10341,11848.0,messean01,Andy,Messersmith,R,R,1968-07-04,1979.0,353.0,729.0,49.0,124.0,30.0,0.0,5.0,54.0,1.0,46.0,212.0,0.0,1.0,46.0,4.0,12.0,,,,4.0,2.0,,,,messean01,353,344,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,320,33,0,0,89.0,0.23182441700960219,0.21923076923076923,0.45105518624037144
10343,12179.0,moneydo01,Don,Money,R,R,1968-04-10,1983.0,1720.0,6215.0,798.0,1623.0,302.0,36.0,176.0,729.0,80.0,600.0,866.0,45.0,40.0,90.0,53.0,16.0,,,,4.0,,,,,moneydo01,1720,0,0,108,192,1029,161,63,0,0,63,178.0,0,0,0,0,1054,666,0,0,1109.0,0.40627514078841515,0.3275911986103069,0.733866339398722
10345,12596.0,murphto02,Tom,Murphy,R,R,1968-06-13,1979.0,443.0,289.0,21.0,42.0,7.0,0.0,1.0,18.0,0.0,13.0,96.0,0.0,0.0,32.0,2.0,12.0,,,,,,,,,murphto02,443,439,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,348,95,0,0,34.0,0.17993079584775087,0.18092105263157895,0.36085184847932983
10347,12765.0,nelsoda01,Dave,Nelson,R,R,1968-04-11,1977.0,813.0,2578.0,340.0,630.0,77.0,19.0,20.0,211.0,187.0,220.0,392.0,10.0,13.0,48.0,16.0,10.0,,,,1.0,,,,,nelsoda01,813,0,0,2,467,202,14,8,10,1,19,32.0,0,0,0,0,786,27,0,0,514.0,0.31225756400310317,0.3052706048814998,0.617528168884603
10349,13140.0,oliveal01,Al,Oliver,L,L,1968-09-23,1985.0,2368.0,9049.0,1189.0,2743.0,529.0,77.0,219.0,1326.0,84.0,535.0,756.0,119.0,82.0,17.0,95.0,18.0,,,,7.0,,,,3.0,oliveal01,2368,0,0,733,0,0,0,486,840,80,1376,200.0,0,0,0,0,1148,1220,0,0,1918.0,0.45121007846170846,0.34422702591947546,0.7954371043811839
10351,13535.0,patekfr01,Freddie,Patek,R,R,1968-06-03,1981.0,1650.0,5530.0,736.0,1340.0,216.0,55.0,41.0,490.0,385.0,523.0,787.0,33.0,31.0,119.0,43.0,14.0,,,,3.0,,,,,patekfr01,1650,0,0,0,16,8,1587,2,0,3,5,2.0,0,0,0,0,1139,511,0,0,1028.0,0.3235081374321881,0.30912355149338994,0.6326316889255781
10353,13566.0,pattima01,Marty,Pattin,R,R,1968-05-14,1980.0,487.0,309.0,15.0,38.0,6.0,0.0,2.0,20.0,0.0,8.0,109.0,0.0,1.0,28.0,1.0,13.0,,,,1.0,,,,,pattima01,487,475,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,356,131,0,0,30.0,0.16181229773462782,0.14733542319749215,0.30914772093211995
10356,14050.0,plummbi01,Bill,Plummer,R,R,1968-04-19,1978.0,367.0,892.0,72.0,168.0,37.0,1.0,14.0,82.0,4.0,95.0,191.0,10.0,4.0,6.0,10.0,10.0,,,,,,,,,plummbi01,367,0,343,1,0,9,0,0,0,0,0,0.0,0,0,0,0,275,92,0,0,116.0,0.27914798206278024,0.26673326673326675,0.5458812487960469
10360,14681.0,retteme01,Merv,Rettenmund,R,R,1968-04-14,1980.0,1023.0,2555.0,393.0,693.0,114.0,16.0,66.0,329.0,68.0,445.0,382.0,15.0,18.0,36.0,20.0,13.0,,,,,,,,,retteme01,1023,0,0,0,0,2,0,229,154,443,749,36.0,0,0,0,0,829,194,0,0,497.0,0.40587084148727987,0.380513495720869,0.7863843372081489
10364,15195.0,rookeji01,Jim,Rooker,R,L,1968-06-30,1980.0,337.0,606.0,54.0,122.0,17.0,4.0,7.0,56.0,3.0,21.0,229.0,0.0,3.0,32.0,5.0,13.0,,,,,,,,,rookeji01,338,319,0,0,0,0,0,1,0,0,1,0.0,0,0,0,0,253,85,0,0,94.0,0.27722772277227725,0.22992125984251968,0.5071489826147969
10365,15260.0,rossga01,Gary,Ross,R,R,1968-06-28,1977.0,283.0,61.0,2.0,7.0,1.0,0.0,0.0,4.0,0.0,1.0,22.0,0.0,0.0,10.0,0.0,10.0,,,,,,,,,rossga01,283,283,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,269,14,0,0,6.0,0.13114754098360656,0.12903225806451613,0.2601797990481227
10369,16284.0,simmote01,Ted,Simmons,B,R,1968-09-21,1988.0,2456.0,8680.0,1074.0,2472.0,483.0,47.0,248.0,1389.0,21.0,855.0,694.0,188.0,39.0,11.0,100.0,21.0,,,,8.0,,,,1.0,simmote01,2456,0,1769,196,0,29,0,37,0,3,40,279.0,0,0,0,0,994,1462,0,0,1694.0,0.4369815668202765,0.347942939838743,0.7849245066590196
10371,16739.0,spencji01,Jim,Spencer,L,L,1968-09-07,1982.0,1553.0,4908.0,541.0,1227.0,179.0,27.0,146.0,599.0,11.0,407.0,582.0,86.0,17.0,35.0,42.0,15.0,,,,1.0,2.0,,,,spencji01,1553,0,0,1219,0,0,0,24,0,0,24,204.0,0,0,0,0,1039,514,0,0,875.0,0.38671556642216787,0.30721994789728324,0.6939355143194511
10379,18020.0,unserde01,Del,Unser,L,L,1968-04-10,1982.0,1799.0,5215.0,617.0,1344.0,179.0,42.0,87.0,481.0,64.0,481.0,675.0,62.0,9.0,65.0,43.0,15.0,,,,,,,,,unserde01,1799,0,0,168,0,0,0,118,1117,232,1410,0.0,0,0,0,0,1284,515,0,0,1036.0,0.3581975071907958,0.3190675017397356,0.6772650089305314
10393,1526.0,bluevi01,Vida,Blue,B,L,1969-07-20,1986.0,508.0,512.0,37.0,53.0,9.0,0.0,4.0,15.0,0.0,49.0,271.0,0.0,3.0,53.0,1.0,17.0,,,1.0,6.0,,,,,bluevi01,508,502,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,238,270,0,0,40.0,0.14453125,0.18584070796460178,0.3303719579646018
10394,1653.0,borbope01,Pedro,Borbon,R,R,1969-04-09,1980.0,593.0,156.0,14.0,32.0,2.0,0.0,0.0,7.0,1.0,1.0,44.0,0.0,1.0,9.0,0.0,12.0,,,,,,,,,borbope01,593,593,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,388,205,0,0,30.0,0.21794871794871795,0.21518987341772153,0.4331385913664395
10406,2210.0,bucknbi01,Bill,Buckner,L,L,1969-09-21,1990.0,2517.0,9397.0,1077.0,2715.0,498.0,49.0,174.0,1208.0,183.0,450.0,453.0,111.0,42.0,47.0,97.0,22.0,,,,1.0,,,,,bucknbi01,2517,0,0,1556,0,0,0,485,0,171,645,125.0,0,0,0,0,773,1744,0,0,1994.0,0.40789613706502076,0.3211496094532345,0.7290457465182553
10412,2645.0,carbobe01,Bernie,Carbo,L,R,1969-09-02,1980.0,1010.0,2733.0,372.0,722.0,140.0,9.0,96.0,358.0,26.0,538.0,611.0,50.0,19.0,13.0,17.0,12.0,,,,,,,,,carbobe01,1010,0,0,0,0,1,0,299,0,407,702,131.0,0,0,0,0,774,236,0,0,477.0,0.42736919136480056,0.38675536740247957,0.8141245587672801
10413,2792.0,cashda01,Dave,Cash,R,R,1969-09-13,1980.0,1422.0,5554.0,732.0,1571.0,243.0,56.0,21.0,426.0,120.0,424.0,309.0,28.0,18.0,30.0,31.0,12.0,,,,3.0,,,,,cashda01,1422,0,0,0,1330,41,3,0,0,0,0,0.0,0,0,0,0,904,518,0,0,1251.0,0.35812027367662946,0.33399701343952215,0.6921172871161516
10415,2952.0,chaneda01,Darrel,Chaney,B,R,1969-04-11,1979.0,915.0,2113.0,237.0,458.0,75.0,17.0,14.0,190.0,19.0,238.0,471.0,43.0,4.0,34.0,12.0,11.0,,,,,,,,,chaneda01,915,0,1,0,137,133,621,0,0,0,0,0.0,0,0,0,0,689,226,0,0,352.0,0.2882158069096072,0.2957329953527672,0.5839488022623744
10416,3230.0,clevere01,Reggie,Cleveland,R,R,1969-10-01,1981.0,428.0,232.0,13.0,49.0,6.0,0.0,0.0,17.0,0.0,6.0,50.0,0.0,1.0,25.0,1.0,13.0,,,,,,,,,clevere01,428,428,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,229,199,0,0,43.0,0.23706896551724138,0.23333333333333334,0.4704022988505747
10417,3309.0,colboji01,Jim,Colborn,R,R,1969-07-13,1978.0,302.0,55.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,30.0,0.0,0.0,3.0,0.0,10.0,,,,1.0,,,,,colboji01,302,301,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,237,65,0,0,3.0,0.10909090909090909,0.10526315789473684,0.2143540669856459
10423,3849.0,crowlte01,Terry,Crowley,L,L,1969-09-04,1983.0,865.0,1518.0,174.0,379.0,62.0,1.0,42.0,229.0,3.0,222.0,181.0,21.0,7.0,6.0,15.0,15.0,,,,,,,,,crowlte01,865,0,0,88,0,0,0,20,0,122,141,196.0,0,0,0,0,449,416,0,0,274.0,0.37483530961791833,0.34506242905788875,0.7198977386758071
10428,4356.0,dempsri01,Rick,Dempsey,R,R,1969-09-23,1992.0,1766.0,4692.0,525.0,1093.0,223.0,12.0,96.0,471.0,20.0,592.0,736.0,13.0,18.0,63.0,42.0,24.0,,,,,,,1.0,,dempsri01,1766,2,1634,3,0,1,0,6,0,17,23,21.0,0,0,0,0,241,1525,0,0,762.0,0.34697357203751067,0.3186751497005988,0.6656487217381095
10433,4729.0,dragodi01,Dick,Drago,R,R,1969-04-11,1981.0,521.0,274.0,11.0,21.0,4.0,0.0,0.0,12.0,0.0,21.0,149.0,0.0,1.0,32.0,0.0,13.0,,,,,,,,,dragodi01,521,519,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,300,221,0,0,17.0,0.09124087591240876,0.14527027027027026,0.23651114618267902
10436,5085.0,ellisjo01,John,Ellis,R,R,1969-05-17,1981.0,883.0,2672.0,259.0,699.0,116.0,13.0,69.0,391.0,6.0,190.0,403.0,17.0,19.0,4.0,30.0,13.0,,,,,,,,,ellisjo01,883,0,297,304,0,5,0,0,0,0,0,170.0,0,0,0,0,593,290,0,0,501.0,0.39221556886227543,0.31192030230161455,0.70413587116389
10437,5246.0,evansda01,Darrell,Evans,L,R,1969-04-20,1989.0,2687.0,8973.0,1344.0,2223.0,329.0,36.0,414.0,1354.0,98.0,1605.0,1410.0,141.0,35.0,34.0,90.0,21.0,,,,2.0,,,,,evansda01,2687,0,0,856,0,1442,22,83,0,0,83,253.0,0,0,0,0,851,1836,0,0,1444.0,0.4308480998551209,0.36092684294123145,0.7917749427963523
10439,5557.0,fiskca01,Carlton,Fisk,R,R,1969-09-18,1993.0,2499.0,8756.0,1276.0,2356.0,421.0,47.0,376.0,1330.0,128.0,849.0,1386.0,105.0,143.0,26.0,79.0,24.0,1.0,BBWAA,,11.0,1.0,1.0,,3.0,fiskca01,2499,0,2226,27,0,4,0,41,0,0,41,166.0,0,0,0,0,547,1927,25,0,1512.0,0.45671539515760623,0.34069400630914826,0.7974094014667545
10440,5577.0,fitzmal01,Al,Fitzmorris,B,R,1969-09-08,1978.0,293.0,99.0,12.0,24.0,5.0,0.0,0.0,8.0,0.0,7.0,29.0,0.0,0.0,2.0,1.0,10.0,,,,,,,,,fitzmal01,293,288,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,248,45,0,0,19.0,0.29292929292929293,0.2897196261682243,0.5826489190975173
10441,5745.0,fostege01,George,Foster,R,R,1969-09-10,1986.0,1977.0,7023.0,986.0,1925.0,307.0,47.0,348.0,1239.0,51.0,666.0,1419.0,106.0,52.0,3.0,68.0,18.0,,,1.0,5.0,,,,1.0,fostege01,1977,0,0,2,0,0,0,1549,274,169,1879,3.0,0,0,0,0,618,1359,0,0,1223.0,0.4798519151359818,0.3384556281213984,0.8183075432573802
10443,6056.0,gamblos01,Oscar,Gamble,L,R,1969-08-27,1985.0,1584.0,4502.0,656.0,1195.0,188.0,31.0,200.0,666.0,47.0,610.0,546.0,62.0,43.0,12.0,30.0,17.0,,,,,,,,,gamblos01,1584,0,0,0,0,0,0,275,79,474,820,561.0,0,0,0,0,757,827,0,0,776.0,0.4542425588627277,0.35641272902603666,0.8106552878887643
10444,6083.0,garbege01,Gene,Garber,R,R,1969-06-17,1988.0,933.0,115.0,7.0,17.0,0.0,0.0,0.0,4.0,0.0,12.0,41.0,0.0,0.0,11.0,0.0,19.0,,,,,,,,,garbege01,933,931,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,250,683,0,0,17.0,0.14782608695652175,0.2283464566929134,0.37617254364943514
10446,6175.0,garrewa01,Wayne,Garrett,L,R,1969-04-12,1978.0,1092.0,3285.0,438.0,786.0,107.0,22.0,61.0,340.0,38.0,561.0,529.0,50.0,12.0,32.0,23.0,10.0,,,,,,,,,garrewa01,1092,0,0,0,193,794,32,0,0,0,0,0.0,0,0,0,0,942,150,0,0,596.0,0.3409436834094368,0.35016748260757535,0.6911111660170122
10447,6188.0,garvest01,Steve,Garvey,R,R,1969-09-01,1987.0,2332.0,8835.0,1143.0,2599.0,440.0,43.0,272.0,1308.0,83.0,479.0,1003.0,113.0,29.0,33.0,90.0,19.0,,,1.0,10.0,4.0,,,,garvest01,2332,0,0,2057,1,191,1,8,0,1,9,0.0,0,0,0,0,806,1526,0,0,1844.0,0.446066779852858,0.3293755963108237,0.7754423761636817
